date,signal_pct_from_sma,mode,allocation_SMH,allocation_VGT,allocation_TECL,spy_ret,smh_ret,vgt_ret,tecl_ret,strategy_ret,strategy_equity,spy_equity
2020-07-09,4.05518491903505,B,0,50,50,-0.005693307987462,0.0173572290790089,0.0040327378357276,0.0126437591116657,0.00833824847369665,1.1619560073202952,0.9387602400363223
2020-07-10,5.079874180258071,B,0,50,50,0.0102107686085155,-0.0039228934119568,-0.0019389587468332,-0.0013614729723988,-0.001650215859616,1.1600385290888393,0.9483457036262077
2020-07-13,4.140324364355632,B,0,50,50,-0.0086591498794446,-0.0143777637647487,-0.0228292838955669,-0.0605669168112027,-0.0416981003533848,1.1116671260891,0.940133836040981
2020-07-14,5.451651646551444,B,0,50,50,0.0129593476201355,0.0168073624487392,0.0119653100353596,0.0306396679341534,0.0213024889847565,1.1353484027973288,0.9523173572316875
2020-07-15,6.373944565524085,B,0,50,50,0.0091872584969834,-0.0045534231572059,0.0062452362099172,0.0197119809874235,0.01297860859867035,1.150083645340361,0.9610665429637392
2020-07-16,5.9815387459833005,B,0,50,50,-0.0032936119886614,-0.0007518570183674,-0.0126220506816949,-0.037399380541167,-0.02501071561143095,1.1213192303573953,0.9579011626759324
2020-07-17,6.238805895816009,B,0,50,50,0.0028991486371878,0.0046403539495043,0.0059326732007276,0.0118441115963081,0.008888392398517849,1.131285955680816,0.960678260526265
2020-07-20,7.033303441616598,B,0,50,50,0.0080814514969076,0.0199737744870793,0.0262585641743018,0.0758234641006661,0.05104101413748395,1.1890279381382576,0.9684419352928416
2020-07-21,7.199833538570472,B,0,50,50,0.0021276877638334,-0.0050181520617722,-0.0096464576370983,-0.027709935302281,-0.01867819646968965,1.1668190407017613,0.9705024773485473
2020-07-22,7.752250058458143,B,0,50,50,0.0056917887300609,0.00731896934263,0.0075298019250564,0.0243947470185552,0.0159622744718058,1.185444126488372,0.976026372411616
2020-07-23,6.414172925687393,B,0,50,50,-0.0119315548012196,-0.0164854996968276,-0.0245803956293102,-0.0781325235285538,-0.05135645957893199,1.1245639131232896,0.9643808602617513
2020-07-24,5.672505435610836,B,0,50,50,-0.0064403391535325,-0.0100569191125703,-0.0128981530265287,-0.0363292090774954,-0.02461368105201205,1.0968842556430705,0.9581699204484903
2020-07-27,6.387145976798022,B,0,50,50,0.0072923467339158,0.0403234279814719,0.0169478459387848,0.0447194101090808,0.030833628023932802,1.1307051767668772,0.9651572277384093
2020-07-28,5.663828110866104,B,0,50,50,-0.0063424067214928,-0.0259810875674892,-0.0119388243485282,-0.0330303442944488,-0.0224845843214885,1.1052817408771187,0.9590358080499038
2020-07-29,6.912637738251716,B,0,50,50,0.0122991627146458,0.025188719381828,0.0171147092409575,0.0417823938215562,0.029448551531256847,1.1378306871798958,0.9708311455022814
2020-07-30,6.482142120953966,B,0,50,50,-0.0035683252599791,0.0094175291984894,0.005016861121649,0.0161720724562446,0.0105944667889468,1.1498853966066678,0.9673669042026112
2020-07-31,7.274856196890552,B,0,50,50,0.0079022214495252,-0.0059206936178377,0.0235371475546586,0.0779420921338422,0.050739619844250405,1.2082301444949453,0.9750112517025619
2020-08-03,7.966749466280139,B,0,50,50,0.0069523887903764,0.0178077550912305,0.0234020937453531,0.0706825653734493,0.0470423295594012,1.2650681051358794,0.9817899089993897
2020-08-04,8.329037068847967,B,0,50,50,0.0038623549970699,0.0145408267614712,0.0032765990439995,0.0089974766946654,0.00613703786933245,1.2728318760043829,0.9855819301604863
2020-08-05,8.940829259855116,B,0,50,50,0.0062109698860943,0.0008738178755403,0.0043867833543498,0.0082339873700403,0.00631038536219505,1.2808639356432563,0.9917033498489919
2020-08-06,9.60731501381102,B,0,50,50,0.0066846873028163,-0.0017462943328213,0.0120525641178019,0.0442561555804843,0.0281543598491431,1.3169258398051462,0.9983325766398878
2020-08-07,9.622104826445348,B,0,50,50,0.0007177525920656,-0.0114875839976655,-0.0161600471737765,-0.0434188852763128,-0.02978946622504465,1.2776953219793823,0.9990491324345147
2020-08-10,9.88550629009535,B,0,50,50,0.002988984768675,0.0007077219508426,-0.0031660000328788,-0.0099735052898189,-0.006569752661348851,1.2693011797374152,1.0020352750745194
2020-08-11,8.920603618938411,B,0,50,50,-0.0082543858258045,-0.0141474159019336,-0.0177018136057987,-0.0555784050135853,-0.036640109309692,1.2227938457649152,0.9937640893029882
2020-08-12,10.374478901202174,A,25,75,0,0.013942130494758,0.0314518048029157,0.0219280104163368,0.0709309497377765,0.04642948007705665,1.2795675282652048,1.0076192779170547
2020-08-13,10.114562795079546,A,25,75,0,-0.0018077192108097,-0.0095072509749196,0.0024390670121339,-6.775158792349245e-05,-0.000547512484629475,1.2788669490685531,1.005797785191182
2020-08-14,10.057335888192831,A,25,75,0,2.9439062220637524e-05,-0.0010536279771964,-0.0024660140177823,-0.0020328964338016,-0.002112917507635825,1.2761648087019293,1.0058273949347616
2020-08-17,10.346067492463648,A,25,75,0,0.0031766756858755,0.0145888590472886,0.0085700311253167,0.0215582769481281,0.010074738105809675,1.289021834929452,1.0090225823644383
2020-08-18,10.52073713187825,A,25,75,0,0.002160572774807,-0.0061790037326965,0.0029741323631564,0.0119640884793879,0.000685848339193175,1.289905908414122,1.0112026490850605
2020-08-19,10.004749818517745,A,25,75,0,-0.0041639568883419,-0.0061010211094557,-0.001564224658288,-0.0067650701253026,-0.002698423771079925,1.286425195648401,1.0069920448488932
2020-08-20,10.291653999143568,A,25,75,0,0.0031138013075435,-0.0080094358269795,0.0128911650226815,0.0407682872794414,0.0076660148102662504,1.2962869502505414,1.0101276179948295
2020-08-21,10.624382180152828,A,25,75,0,0.0035472485910523,0.0072490833301601,0.0104072495389251,0.0358992317406201,0.009617707986733849,1.308754259605065,1.0137107917645447
2020-08-24,11.680176714789756,A,25,75,0,0.0101330822635035,0.0088933611117674,0.0081319628273954,0.0290734976073221,0.0083223123984884,1.3196461214063506,1.023982806608896
2020-08-25,12.00543004617871,A,25,75,0,0.0034993482759022,0.0113090595266007,0.0047759932629976,0.0146925181314006,0.006409259828898376,1.3281040762806418,1.0275660790777565
2020-08-26,13.057276677146412,A,25,75,0,0.0100257475343128,0.0055627368283781,0.0206832147042614,0.0614130898853104,0.016903095235290575,1.3505531459643911,1.0378681971614139
2020-08-27,13.230855675796038,A,25,75,0,0.0021863971311608,-0.0140291798343002,-0.0006166862893932,0.0026285935863556,-0.00396980967561995,1.3451917070181028,1.0401373892102106
2020-08-28,13.885292713742478,A,25,75,0,0.0064595751335299,0.015906001853708,0.0096596726547688,0.0246453990742658,0.0112212549545036,1.3602864461252369,1.0468562348250077
2020-08-31,13.39867751497857,A,25,75,0,-0.0036224826611661,-0.001537250325302,0.0030567863568347,0.0098042176896318,0.001908277186300525,1.3628822497172115,1.0430640162656204
2020-09-01,14.386802273051275,A,25,75,0,0.0094183296246936,0.0196157151832974,0.0238000704304384,0.0599343972301003,0.02275398161865315,1.3938932473756656,1.052887936990467
2020-09-02,15.954943281509198,A,25,75,0,0.0144638228663294,0.0265085582757158,0.0071438102034613,0.0255928081853171,0.011984997221524924,1.4105990540725653,1.068116721609192
2020-09-03,11.903908399980793,A,25,75,0,-0.0344141464404041,-0.0531190057156888,-0.0591383205572277,-0.1750952751514578,-0.05763349184684298,1.3293013049905096,1.031358396336289
2020-09-04,10.93518258990714,A,25,75,0,-0.0081646835925526,-0.0137514748236475,-0.0158940970594793,-0.0407209277574309,-0.01535844150052135,1.3088853086612462,1.0229376813596807
2020-09-08,7.864916902744532,A,25,75,0,-0.0273228999826324,-0.0443382084341652,-0.0435699283954404,-0.1337054322148151,-0.0437619984051216,1.2516058718711256,0.9949880574034242
2020-09-09,9.942433243794294,A,25,75,0,0.0197475057087477,0.0286306446629587,0.0315712341983314,0.0928483739195613,0.030836086814488222,1.2902004991936666,1.014636589747134
2020-09-10,7.993370179830836,A,25,75,0,-0.0173638473185315,-0.0125814387618761,-0.0210940735287351,-0.0624916850604239,-0.01896591483702035,1.2657306664032784,0.9970185949189694
2020-09-11,8.012208702752712,A,25,75,0,0.0005095235969216,-0.0019233833272133,-0.0080260169862482,-0.0270403290966535,-0.006500358571489475,1.2575029632167267,0.9975265994196503
2020-09-14,9.391750667518428,A,25,75,0,0.0131712104991321,0.0225220044709857,0.0212722861940568,0.0634110648040304,0.021584715763289027,1.2846458072492537,1.0106652322390899
2020-09-15,9.900587376308884,A,25,75,0,0.0050521208399569,0.0210247657951307,0.010921196520951,0.0307942602104049,0.013447088839495927,1.3019205535466205,1.015771235121105
2020-09-16,9.421110511266637,A,25,75,0,-0.0039684826184794,-0.0122857497524407,-0.0149756000310621,-0.0458595123834676,-0.014303137461406748,1.2832990049054125,1.0117401646301756
2020-09-17,8.416357635042255,A,25,75,0,-0.0087954548492017,-0.0022774554200609,-0.0089652518486931,-0.027911145636561,-0.00729330274153505,1.2739395167547267,1.002841449693047
